,AXP
1999-12-30,36.24199295043945
1999-12-31,36.35133361816406
2000-01-03,34.38344573974609
2000-01-04,33.08516311645508
2000-01-05,32.24483871459961
2000-01-06,32.90176010131836
2000-01-07,33.38079071044922
2000-01-10,33.846126556396484
2000-01-11,34.16089630126953
2000-01-12,33.982994079589844
2000-01-13,34.16089630126953
2000-01-14,34.927345275878906
2000-01-18,33.18918609619141
2000-01-19,32.614368438720696
2000-01-20,33.154956817626946
2000-01-21,33.21654510498047
2000-01-24,33.284988403320305
2000-01-25,34.680992126464844
2000-01-26,34.98209381103516
2000-01-27,35.68008804321289
2000-01-28,34.653610229492195
2000-01-31,36.07698822021485
2000-02-01,37.00767135620117
2000-02-02,35.95381164550781
2000-02-03,35.6663932800293
2000-02-04,35.35160827636719
2000-02-07,35.570587158203125
2000-02-08,35.693756103515625
2000-02-09,34.28406524658203
2000-02-10,33.83243179321289
2000-02-11,33.61344528198242
2000-02-14,33.72295379638672
2000-02-15,34.84522247314453
2000-02-16,33.688735961914055
2000-02-17,32.39539337158203
2000-02-18,30.27401924133301
2000-02-22,30.465633392333984
2000-02-23,30.24665069580078
2000-02-24,28.46742057800293
2000-02-25,27.31777763366699
2000-02-28,29.042245864868164
2000-02-29,29.384410858154297
2000-03-01,29.67182540893555
2000-03-02,29.24755668640137
2000-03-03,29.23386192321777
2000-03-06,28.303178787231445
2000-03-07,27.67362976074219
2000-03-08,26.87981605529785
2000-03-09,26.87981605529785
2000-03-10,27.74205780029297
2000-03-13,27.714677810668945
2000-03-14,28.12526893615723
2000-03-15,29.09697723388672
2000-03-16,31.478403091430664
2000-03-17,31.45102119445801
2000-03-20,31.09519004821777
2000-03-21,31.943735122680664
2000-03-22,32.35431289672852
2000-03-23,34.16089630126953
2000-03-24,34.078781127929695
2000-03-27,32.956512451171875
2000-03-28,33.39449691772461
2000-03-29,33.202869415283196
2000-03-30,32.628047943115234
2000-03-31,32.614368438720696
2000-04-03,34.05142593383789
2000-04-04,32.190093994140625
2000-04-05,31.642641067504893
2000-04-06,30.876203536987305
2000-04-07,30.45193672180176
2000-04-10,31.355224609375
2000-04-11,31.79318046569824
2000-04-12,33.011253356933594
2000-04-13,31.97110939025879
2000-04-14,29.34333229064941
2000-04-17,29.34333229064941
2000-04-18,30.6435489654541
2000-04-19,30.5477352142334
2000-04-20,31.36813735961914
2000-04-24,32.917346954345696
2000-04-25,34.65851211547852
2000-04-26,33.91815948486328
2000-04-27,34.00040435791016
2000-04-28,32.793949127197266
2000-05-01,33.20526885986328
2000-05-02,32.47863006591797
2000-05-03,31.14877510070801
2000-05-04,31.751996994018555
2000-05-05,32.163280487060554
2000-05-08,33.35603713989258
2000-05-09,32.46492385864258
2000-05-10,31.45038604736328
2000-05-11,32.57458877563477
2000-05-12,33.068172454833984
2000-05-15,34.34316635131836
2000-05-16,33.64397430419922
2000-05-17,33.52057266235352
2000-05-18,34.09636688232422
2000-05-19,33.10929489135742
2000-05-22,32.656856536865234
2000-05-23,33.39719009399414
2000-05-24,32.90363311767578
2000-05-25,32.163280487060554
2000-05-26,32.28670120239258
2000-05-30,33.314926147460945
2000-05-31,35.535919189453125
2000-06-01,35.45365524291992
2000-06-02,37.18110656738281
2000-06-05,36.60529327392578
2000-06-06,35.535919189453125
2000-06-07,37.13995361328125
2000-06-08,36.19400024414063
2000-06-09,35.41251754760742
2000-06-12,35.30970764160156
2000-06-13,35.86494827270508
2000-06-14,37.34562683105469
2000-06-15,36.52302169799805
2000-06-16,33.890743255615234
2000-06-19,35.20688247680664
2000-06-20,35.535919189453125
2000-06-21,34.63107681274414
2000-06-22,35.16575241088867
2000-06-23,35.28914260864258
2000-06-26,36.97546768188477
2000-06-27,35.65932083129883
2000-06-28,35.04238128662109
2000-06-29,34.54880905151367
2000-06-30,34.302047729492195
2000-07-03,34.46656036376953
2000-07-05,34.35449981689453
2000-07-06,34.230926513671875
2000-07-07,35.42552947998047
2000-07-10,36.16698455810547
2000-07-11,35.63147735595703
2000-07-12,36.24938201904297
2000-07-13,36.290565490722656
2000-07-14,37.27916717529297
2000-07-17,37.11439514160156
2000-07-18,36.37293243408203
2000-07-19,36.290565490722656
2000-07-20,37.485145568847656
2000-07-21,39.050453186035156
2000-07-24,37.60871887207031
2000-07-25,36.82605361938477
2000-07-26,36.66129684448242
2000-07-27,38.43257522583008
2000-07-28,36.9084358215332
2000-07-31,37.36156845092773
2000-08-01,37.52634048461914
2000-08-02,37.81467819213867
2000-08-03,38.22659683227539
2000-08-04,39.42118835449219
2000-08-07,38.43257522583008
2000-08-08,38.72090530395508
2000-08-09,39.29761505126953
2000-08-10,38.638526916503906
2000-08-11,39.379981994628906
2000-08-14,39.54476165771485
2000-08-15,39.00924301147461
2000-08-16,37.77347946166992
2000-08-17,38.556129455566406
2000-08-18,38.556129455566406
2000-08-21,38.96805953979492
2000-08-22,38.185401916503906
2000-08-23,37.77347946166992
2000-08-24,37.23797607421875
2000-08-25,37.27916717529297
2000-08-28,39.462364196777344
2000-08-29,39.050453186035156
2000-08-30,38.8444938659668
2000-08-31,38.89596557617188
2000-09-01,38.51494216918945
2000-09-05,39.379981994628906
2000-09-06,39.54476165771485
2000-09-07,39.09164810180664
2000-09-08,39.95667266845703
2000-09-11,40.73933792114258
2000-09-12,40.45098876953125
2000-09-13,40.4098014831543
2000-09-14,40.080265045166016
2000-09-15,39.09164810180664
2000-09-18,38.22659683227539
2000-09-19,39.42118835449219
2000-09-20,38.22659683227539
2000-09-21,38.39138793945313
2000-09-22,38.72090530395508
2000-09-25,39.54476165771485
2000-09-26,39.25640487670898
2000-09-27,38.72090530395508
2000-09-28,40.16264724731445
2000-09-29,40.039058685302734
2000-10-02,41.52198028564453
2000-10-03,40.53338623046875
2000-10-04,40.17370986938477
2000-10-05,40.2562141418457
2000-10-06,38.235130310058594
2000-10-09,37.36897659301758
2000-10-10,36.62653350830078
2000-10-11,35.88411331176758
2000-10-12,34.23427581787109
2000-10-13,35.59539794921875
2000-10-16,36.79151153564453
2000-10-17,35.47166442871094
2000-10-18,35.80162811279297
2000-10-19,36.997745513916016
2000-10-20,36.997745513916016
2000-10-23,35.88411331176758
2000-10-24,37.698936462402344
2000-10-25,37.86392593383789
2000-10-26,35.92537307739258
2000-10-27,36.8327751159668
2000-10-30,38.56510543823242
2000-10-31,39.59626770019531
2000-11-01,38.52386093139648
2000-11-02,38.028907775878906
2000-11-03,39.348793029785156
2000-11-06,40.00870895385742
2000-11-07,40.2149543762207
2000-11-08,38.27638244628906
2000-11-09,38.44139099121094
2000-11-10,37.65769958496094
2000-11-13,36.8740119934082
2000-11-14,37.82267761230469
2000-11-15,38.070159912109375
2000-11-16,38.111412048339844
